Date,Currency,Exchange
2015-08-04,AUD,1.2961
2015-08-04,EUR,0.9206
2015-08-04,GBP,0.6688
2015-09-04,USD,1.0
2015-09-04,CAD,1.2524
2015-09-04,AUD,1.2949
2015-09-04,EUR,0.9282
2015-09-04,GBP,0.6746
2015-10-04,USD,1.0
2015-10-04,CAD,1.2664
2015-10-04,AUD,1.3079
2015-10-04,EUR,0.9461
2015-10-04,GBP,0.6853
2015-11-04,USD,1.0
2015-11-04,CAD,1.2664
2015-11-04,AUD,1.3079
2015-11-04,EUR,0.9461
2015-11-04,GBP,0.6853
2015-12-04,USD,1.0
2015-12-04,CAD,1.2664
2015-12-04,AUD,1.3079
2015-12-04,EUR,0.9461
2015-12-04,GBP,0.6853
2015-01-01,USD,1.0
2015-01-01,CAD,1.2627
2015-01-01,AUD,1.3197
2015-01-01,EUR,0.9477
2015-01-01,GBP,0.6838
2015-01-01,USD,1.0
2015-01-01,CAD,1.2582
2015-01-01,AUD,1.3192
2015-01-01,EUR,0.9466
2015-01-01,GBP,0.6832
2015-01-01,USD,1.0
2015-01-01,CAD,1.255
2015-01-01,AUD,1.3182
2015-01-01,EUR,0.9453
2015-01-01,GBP,0.6776
2015-01-01,USD,1.0
2015-01-01,CAD,1.2305
2015-01-01,AUD,1.2875
2015-01-01,EUR,0.9336
2015-01-01,GBP,0.6712
2015-01-01,USD,1.0
2015-01-01,CAD,1.2191
2015-01-01,AUD,1.28
2015-01-01,EUR,0.9247
2015-01-01,GBP,0.6657
2015-01-01,USD,1.0
2015-01-01,CAD,1.2191
2015-01-01,AUD,1.28
2015-01-01,EUR,0.9247
2015-01-01,GBP,0.6657
2015-01-01,USD,1.0
2015-01-01,CAD,1.2191
2015-01-01,AUD,1.28
2015-01-01,EUR,0.9247
2015-01-01,GBP,0.6657
2015-01-01,USD,1.0
2015-01-01,CAD,1.2252
2015-01-01,AUD,1.2891
2015-01-01,EUR,0.9326
2015-01-01,GBP,0.671
2015-01-01,USD,1.0
2015-01-01,CAD,1.2229
2015-01-01,AUD,1.2917
2015-01-01,EUR,0.9346
2015-01-01,GBP,0.6717
2015-01-01,USD,1.0
2015-01-01,CAD,1.2242
2015-01-01,AUD,1.2842
2015-01-01,EUR,0.9308
2015-01-01,GBP,0.6636
2015-01-01,USD,1.0
2015-01-01,CAD,1.2226
2015-01-01,AUD,1.2938
2015-01-01,EUR,0.9283
2015-01-01,GBP,0.6656
2015-01-01,USD,1.0
2015-01-01,CAD,1.2119
2015-01-01,AUD,1.2827
2015-01-01,EUR,0.9239
2015-01-01,GBP,0.6614
2015-01-01,USD,1.0
2015-01-01,CAD,1.2119
2015-01-01,AUD,1.2827
2015-01-01,EUR,0.9239
2015-01-01,GBP,0.6614
2015-01-01,USD,1.0
2015-01-01,CAD,1.2119
2015-01-01,AUD,1.2827
2015-01-01,EUR,0.9239
2015-01-01,GBP,0.6614
2015-01-01,USD,1.0
2015-01-01,CAD,1.2156
2015-01-01,AUD,1.2814
2015-01-01,EUR,0.924
2015-01-01,GBP,0.6618
2015-01-01,USD,1.0
2015-01-01,CAD,1.2069
2015-01-01,AUD,1.2585
2015-01-01,EUR,0.9152
2015-01-01,GBP,0.6543
2015-01-01,USD,1.0
2015-01-01,CAD,1.2054
2015-01-01,AUD,1.2509
2015-01-01,EUR,0.9089
2015-01-01,GBP,0.6509
2015-01-01,USD,1.0
2015-01-01,CAD,1.202
2015-01-01,AUD,1.2627
2015-01-01,EUR,0.8917
2015-01-01,GBP,0.648
2015-01-05,USD,1.0
2015-01-05,CAD,1.202
2015-01-05,AUD,1.2627
2015-01-05,EUR,0.8917
2015-01-05,GBP,0.648
2015-02-05,USD,1.0
2015-02-05,CAD,1.202
2015-02-05,AUD,1.2627
2015-02-05,EUR,0.8917
2015-02-05,GBP,0.648
2015-03-05,USD,1.0
2015-03-05,CAD,1.202
2015-03-05,AUD,1.2627
2015-03-05,EUR,0.8917
2015-03-05,GBP,0.648
2015-04-05,USD,1.0
2015-04-05,CAD,1.2116
2015-04-05,AUD,1.2756
2015-04-05,EUR,0.8967
2015-04-05,GBP,0.6617
2015-05-05,USD,1.0
2015-05-05,CAD,1.209
2015-05-05,AUD,1.27
2015-05-05,EUR,0.8995
2015-05-05,GBP,0.6611
2015-06-05,USD,1.0
2015-06-05,CAD,1.201
2015-06-05,AUD,1.2493
2015-06-05,EUR,0.8905
2015-06-05,GBP,0.6568
2015-07-05,USD,1.0
2015-07-05,CAD,1.207
2015-07-05,AUD,1.2548
2015-07-05,EUR,0.8846
2015-07-05,GBP,0.6568
2015-08-05,USD,1.0
